OTU.ID	DF_5_6	HN_4_5	DF_2_5	HN_4_4	DF_4_2	HN_2_3	DF_1_1	LN_7_3	LN_2_2	DF_5_1	HN_3_5	HN_4_6	HN_1_3	HN_3_4	DF_7_5	LN_6_3	HN_1_2	LN_3_4	DF_1_5	LN_6_2	LN_3_1	HN_3_3	HN_6_8	DF_2_1	DF_4_8	HN_6_4	HN_5_3	HN_1_4	LN_1_2	DF_7_1	LN_5_3	HN_1_7	HN_3_7	DF_4_4	HN_5_5	LN_2_1	LN_5_6	HN_5_2	DF_5_2	DF_6_6	LN_7_2	HN_2_2	DF_7_4	DF_3_6	HN_1_5	LN_5_5	DF_7_8	DF_6_7	LN_2_4	DF_2_7	HN_3_2	HN_4_7	DF_4_5	DF_1_4	DF_5_5	LN_5_7	DF_3_2	DF_5_8	DF_3_1	HN_2_4	DF_2_8	DF_4_3	DF_3_4	DF_6_3	DF_7_6	DF_4_6	DF_6_2	HN_3_6	HN_1_8	DF_2_4	HN_6_3	DF_6_5	LN_5_1	HN_4_1	DF_6_1	LN_1_3	LN_5_4	DF_7_7	DF_5_4	DF_3_8	DF_1_7	HN_1_1	LN_6_4	DF_5_7	DF_7_2	LN_2_3	DF_6_4	DF_1_3	HN_5_6	DF_4_1	HN_4_8	DF_2_3	DF_3_7	DF_6_8	DF_4_7	LN_5_8	HN_5_8	HN_5_4	DF_1_8	LN_1_1	HN_5_7	DF_1_2	LN_3_3	HN_3_8	DF_5_3	HN_6_2	DF_2_6	DF_3_5	HN_6_6	HN_6_5	DF_1_6	HN_6_1	HN_5_1	LN_3_5	DF_2_2	DF_3_3	HN_1_6	HN_4_3	HN_6_7	LN_6_1	LN_4_1	HN_4_2
OTU_83059	1	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	3	0	0	2	7	0	0	0	0	6	2	0	0	0	0	0	2	0	0	4	0	0	6	0	0	5	0	1	0	0	0	2	5	1	0	0	3	0	5	0	2	1	0	1	0	1	7	0	0	4	0	6	0	6	0	0	14	5	0	0	2	0	0	2	4	0	2	6	0	0	0	0	0	8	0	0	0	1	0	3	0	0	0	0	0	0	0	2	0	0	1	1	1	0	1	0	0	0	0	0	0	0
OTU_408	0	1	0	0	0	0	1	0	6	1	0	0	0	0	1	0	0	0	0	0	2	0	43	0	2	3	0	0	0	1	0	6	0	0	0	0	6	3	1	0	1	3	6	0	6	1	1	0	0	2	0	0	1	0	2	4	0	0	4	0	0	0	0	2	5	1	2	0	0	1	3	2	0	1	0	0	0	2	0	0	0	5	0	0	0	1	0	2	0	0	0	0	0	0	1	0	1	0	0	1	0	1	0	4	0	6	0	0	27	9	0	1	3	0	0	0	3	0	9	0	0	0
OTU_82271	3	0	0	0	0	0	10	0	0	0	0	1	0	0	7	4	0	5	0	2	0	0	0	1	0	0	0	0	0	9	0	0	0	1	0	0	0	0	0	1	0	0	5	7	0	0	0	8	0	0	1	0	0	10	3	0	0	4	0	9	3	0	0	4	3	0	12	0	1	0	0	3	0	0	7	0	0	7	0	5	1	0	0	20	12	0	9	10	3	0	0	5	1	6	0	0	1	0	0	0	1	0	2	2	0	0	0	1	0	0	0	0	0	1	6	0	0	0	0	0	6	0
OTU_95	8	625	1	1355	0	0	342	0	1	6	0	12	5	5	26	0	0	1	0	12	0	11	1	40	2	0	5	438	0	1	1	1	1	0	6	192	0	46	3	18	1	0	350	0	0	0	7	671	0	1	1	23	0	55	96	0	1	1	6	3	1	3	1	544	3	1	422	0	2	2	2	896	1	434	439	0	1	17	2	0	1	15	0	17	225	0	47	208	6	1	6	51	0	104	1	0	1	10	0	9	1	1	13	2	2	65	0	0	1	1	1	2	7	11	102	1	0	2388	2	53	436	2601
OTU_50	143	0	585	0	0	43	149	0	0	80	5	0	6	8	706	0	0	48	3	0	27	8	0	7	2	0	0	0	0	154	4	1	10	136	0	69	0	0	5	71	0	53	229	327	0	1	37	250	0	73	103	0	0	384	425	0	0	150	0	257	275	8	10	108	222	0	644	2	34	0	11	164	0	0	217	0	4	86	0	108	0	24	0	586	161	0	486	254	0	1	0	208	29	186	2	0	0	0	0	1	0	0	223	0	0	43	70	26	0	0	0	41	3	237	404	0	0	0	0	0	41	0
OTU_102	228	88	177	77	329	220	408	522	1292	289	162	192	75	265	252	187	107	55	123	136	156	300	49	488	515	56	106	68	43	205	73	57	144	311	119	50	418	118	331	289	100	51	264	194	16	200	74	330	133	137	266	154	532	456	676	233	268	402	501	181	349	155	141	619	177	509	655	190	146	689	74	326	711	434	729	130	76	209	48	103	159	126	4	362	141	595	664	514	227	70	169	260	50	395	545	66	158	161	538	12	226	405	101	146	76	184	89	205	54	67	114	165	179	208	232	250	16	170	48	127	73	32
OTU_106332	141	53	16	75	81	451	179	23	48	354	133	365	121	219	197	56	294	16	219	62	102	105	20	130	226	78	35	30	32	95	24	18	92	183	27	93	2	96	95	88	11	38	76	81	4	151	58	54	24	26	174	46	154	91	165	9	34	34	128	105	72	35	86	110	214	86	137	125	60	94	27	77	140	237	172	117	77	102	35	45	218	109	1	75	51	166	134	126	47	31	164	95	11	31	150	96	41	46	657	2	38	547	23	80	100	100	3	46	16	11	91	194	266	45	74	29	4	88	18	271	24	15
OTU_51363	23	46	44	44	23	22	45	658	25	129	709	10	15	487	341	58	3	26	468	50	54	1291	76	102	345	96	19	49	11	83	1	12	83	494	1	57	3	59	152	191	45	22	416	22	10	3	127	135	3	5	2410	4	663	195	179	2	195	19	442	10	30	34	17	523	272	709	160	309	11	1409	7	125	66	41	121	22	3	262	127	2	175	43	8	17	406	297	383	474	55	6	2	22	1	94	952	5	7	24	150	30	28	153	42	5	302	75	8	7	68	63	281	84	62	87	78	242	5	59	74	222	188	25
OTU_38343	238	1301	111	885	215	570	2363	765	242	394	1584	732	356	1085	144	6051	987	64	227	1172	516	267	1880	249	669	953	1192	953	59	251	112	398	905	275	12528	69	770	598	402	401	1500	199	115	271	746	173	228	162	57	85	269	4288	1089	607	654	644	314	104	737	552	222	148	79	882	107	879	740	1206	2571	1137	1961	253	173	364	927	1353	134	211	72	318	165	266	94	235	345	123	448	493	6566	51	5023	2696	122	131	495	214	9779	11919	152	87	8856	264	68	557	58	837	42	43	1391	1300	195	427	374	328	996	311	158	516	1380	274	47	74
OTU_45	184	61	243	14	44	1	404	0	58	79	76	163	10	33	107	448	4	23	60	487	200	64	13	75	217	14	14	23	52	344	691	65	49	131	2	25	68	33	149	211	4	32	289	1043	15	54	82	157	0	114	50	149	223	767	332	26	303	43	416	12	383	149	322	178	104	207	508	91	27	222	42	360	71	322	373	15	213	158	52	459	439	50	0	175	796	10	294	235	222	3	44	576	284	160	68	19	43	3	151	10	88	63	65	1212	137	26	134	201	23	28	125	88	139	12	433	163	40	32	29	142	39	4
OTU_743	10	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	1	0	6	13	0	1	1	0	0	0	0	4	0	0	2	0	0	0	0	0	0	6	0	0	0	0	0	0	0	16	0	0	68	0	1	5	27	0	0	61	1	0	0	0	0	0	0	0	2	0	0	0	0	7	0	0	2	0	0	0	0	0	49	0	0	24	11	0	19	4	0	0	0	1	0	47	0	0	0	0	21	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	5	0	0	0	0	0	19	0
OTU_84819	417	551	335	605	432	2325	933	430	256	566	548	480	207	397	2398	320	87	216	302	679	498	572	248	516	408	233	160	556	26	1100	312	388	249	482	114	177	138	666	305	374	214	124	939	638	590	135	650	450	86	123	701	192	366	657	944	55	183	187	429	599	358	234	312	517	2028	455	761	511	206	379	258	405	535	1649	830	160	134	1184	79	425	325	282	1	329	779	362	555	546	241	116	259	638	138	340	393	87	147	124	721	124	163	713	375	658	129	587	84	280	304	312	245	379	519	598	852	290	192	525	375	788	148	185
OTU_137074	885	6103	827	5731	1240	169	3865	297	991	1070	7586	2963	5067	5760	1977	5750	297	5737	1013	9477	2623	1958	7077	806	1072	5764	1436	7761	387	6221	7302	5729	2880	1093	265	198	9221	10415	1128	1298	298	291	1091	2624	9992	3421	2581	1103	214	328	1065	4354	830	2393	1667	4292	831	494	1735	169	1630	1193	1107	1527	1456	1198	976	7070	2969	1552	9256	900	817	676	1593	1141	2567	4261	271	2689	3723	585	144	588	4108	1452	1678	1845	2968	317	6646	2597	1003	1006	1244	3721	1310	588	2371	1908	942	1393	11696	5948	484	3210	172	708	8214	8427	1666	1195	2991	11286	2593	619	5123	2886	7336	10192	224	321
OTU_26642	4	68	0	95	5	1	41	4	3	2	19	11	0	12	0	3	0	1	0	4	6	3	20	5	2	40	3	56	0	4	2	31	9	1	1	4	0	17	1	1	2	0	16	1	14	8	3	31	0	0	17	8	0	16	17	1	0	0	1	0	6	4	1	26	2	0	29	17	8	8	13	31	1	17	35	23	3	8	0	2	4	1	0	7	9	4	13	9	1	0	1	11	1	4	1	2	1	3	8	3	6	2	2	26	0	14	0	1	51	93	1	6	8	3	25	1	12	87	50	13	14	47
OTU_11	230	127	40	65	61	47	111	38	243	51	150	707	75	429	531	124	7	52	78	165	148	414	116	142	500	89	146	101	20	475	438	99	694	114	17	138	750	299	32	756	20	57	595	167	150	1161	276	812	56	82	258	126	139	285	289	993	71	313	199	155	204	49	85	258	306	251	222	165	612	183	217	631	68	638	222	41	1115	1729	25	114	186	24	4	652	334	286	216	724	265	17	220	115	49	1292	203	1028	87	31	175	92	93	57	108	194	30	181	30	63	136	116	62	97	172	214	112	50	94	85	107	433	160	19
OTU_3964	70	129	48	238	11	39	216	20	11	21	16	12	3	8	176	67	5	20	9	7	36	10	8	32	22	8	16	91	4	66	5	4	10	42	23	33	10	10	21	26	4	19	123	109	3	1	18	136	3	28	48	26	13	157	177	7	12	39	17	84	83	14	14	184	85	17	276	13	15	19	10	138	19	65	172	8	4	53	4	59	5	15	1	164	82	11	191	139	29	3	17	184	8	105	12	3	15	39	33	1	28	13	72	5	1	36	25	15	3	5	7	13	8	94	168	9	3	239	8	35	45	131
OTU_83854	4	9	118	7	3	38	3	6	51	6	15	17	0	24	1	5	0	8	10	13	16	29	2	7	45	62	15	2	47	8	33	0	29	28	1	73	5	14	26	25	10	89	17	28	0	21	14	17	31	0	32	19	29	11	17	1	13	74	16	4	3	1	0	11	2	28	4	12	8	16	14	22	15	36	3	52	6	8	0	3	6	20	13	25	7	68	13	16	1	2	0	4	12	11	28	3	7	4	4	5	6	9	0	4	11	8	6	2	1	5	6	19	3	0	10	6	0	40	0	35	11	8
