OTU.ID	DF_5_6	HN_4_5	DF_2_5	HN_4_4	DF_4_2	HN_2_3	DF_1_1	LN_7_3	LN_2_2	DF_5_1	HN_3_5	HN_4_6	HN_1_3	HN_3_4	DF_7_5	LN_6_3	HN_1_2	LN_3_4	DF_1_5	LN_6_2	LN_3_1	HN_3_3	HN_6_8	DF_2_1	DF_4_8	HN_6_4	HN_5_3	HN_1_4	LN_1_2	DF_7_1	LN_3_6	LN_5_3	HN_1_7	HN_3_7	DF_4_4	HN_5_5	LN_2_1	LN_5_6	HN_5_2	DF_5_2	DF_6_6	LN_7_2	HN_2_2	DF_7_4	DF_3_6	HN_1_5	LN_5_5	DF_7_8	DF_6_7	LN_2_4	DF_2_7	HN_3_2	HN_4_7	DF_4_5	DF_1_4	DF_5_5	LN_5_7	DF_3_2	DF_5_8	DF_3_1	HN_2_4	DF_2_8	DF_4_3	DF_3_4	DF_6_3	DF_7_6	DF_4_6	DF_6_2	HN_3_6	HN_1_8	DF_2_4	HN_6_3	DF_6_5	LN_5_1	HN_4_1	DF_6_1	LN_1_3	LN_5_4	DF_7_7	DF_5_4	DF_3_8	DF_1_7	HN_1_1	LN_6_4	DF_5_7	DF_7_2	LN_2_3	DF_6_4	DF_1_3	HN_5_6	DF_4_1	HN_4_8	DF_2_3	DF_3_7	DF_6_8	DF_4_7	LN_5_8	HN_5_8	HN_5_4	DF_1_8	LN_1_1	HN_5_7	DF_1_2	LN_3_3	HN_3_8	DF_5_3	HN_6_2	DF_2_6	DF_3_5	HN_6_6	HN_6_5	DF_1_6	HN_6_1	HN_5_1	LN_3_5	DF_2_2	DF_3_3	HN_1_6	HN_4_3	HN_6_7	LN_6_1	LN_4_1	HN_4_2
OTU_82446	1	0	1	0	14	0	2	1	0	18	0	0	0	0	0	0	0	0	2	0	2	0	0	4	1	0	0	0	0	1	0	0	0	0	23	0	1	0	0	29	8	1	2	0	6	0	0	0	3	0	0	0	0	0	3	2	0	0	3	0	0	3	0	5	1	0	0	3	0	0	0	0	1	0	2	3	0	0	0	0	0	0	0	0	2	2	2	0	1	0	6	0	0	0	1	0	0	0	0	6	1	0	2	0	0	2	1	0	2	0	0	0	0	1	0	0	2	0	0	0	0	2	0
OTU_2860	4	0	0	0	1	0	0	0	1	0	0	0	0	0	13	0	0	1	6	0	0	0	0	0	3	0	0	0	0	0	1	0	1	0	0	0	31	0	0	0	1	0	0	37	2	0	0	20	0	0	0	0	0	5	2	2	3	1	1	0	0	0	0	1	0	8	9	0	0	0	4	0	0	0	0	1	0	0	12	1	0	1	0	0	0	1	0	1	0	0	0	0	0	0	1	15	1	0	0	0	0	0	0	0	0	4	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_10368	2	0	0	1	0	0	1	5	3	0	10	0	7	2	6	0	2	0	0	0	2	14	0	0	0	2	5	6	0	0	0	0	0	3	0	0	2	0	3	0	0	0	0	1	0	1	0	2	0	0	0	0	0	0	1	4	0	0	0	0	0	0	0	0	0	8	0	0	5	2	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	2	0	3	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	8	6	0	1	0	0	0	0	0	0	0
OTU_39159	0	0	0	0	0	0	0	1	3	1	3	0	1	5	3	0	0	3	2	0	1	0	0	0	4	0	2	0	2	0	0	2	0	2	4	0	0	5	0	1	1	2	9	0	1	0	2	0	0	1	0	3	3	0	0	3	1	1	7	4	1	0	2	0	0	1	0	0	2	4	0	0	1	1	5	0	0	1	1	2	0	1	1	0	0	3	0	0	1	0	0	0	0	0	5	1	0	2	0	1	0	0	3	1	0	4	2	0	0	0	0	0	1	1	0	1	1	0	1	0	0	2	2
OTU_63473	0	0	0	0	0	0	0	0	2	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	42	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	5	1	0	0	0	0	0	2	0	3	0	1	1	0	1	3	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	3	0	0	53	0	1	0	0	0	0	25	0	0	5	3	0	3	0	0	0	34	0	0	0	0	0	0	3	0	0	0	0	0	0	0	5	0	0	0	0	1	10	4
OTU_502	2	0	0	0	0	0	0	1	0	3	0	0	0	0	0	0	0	0	10	0	0	0	0	12	0	0	1	0	0	0	0	0	0	0	5	0	0	0	0	32	1	1	0	0	1	0	0	0	4	0	0	0	0	0	0	7	0	0	0	0	0	1	1	0	0	5	0	0	0	0	0	0	3	0	0	0	0	0	1	0	0	6	0	0	11	0	0	0	3	0	0	0	2	0	3	0	0	0	0	1	0	1	0	0	0	14	0	0	1	0	0	0	0	0	0	33	0	0	0	0	0	0	0
OTU_114519	2	0	0	0	0	0	5	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	62	22	0	2	1	0	0	1	0	1	1	0	0	0	0	0	0	0	1	0	15	1	0	0	0	0	2	0	0	0	0	0	2	3	0	1	0	0	0	1	2	0	7	0	0	2	0	0	0	31	0	2	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	3	45	0	0	15	1	1	0	0	1	1	1	0	0	30	2	0	0
OTU_87952	3	0	0	0	0	0	0	0	3	0	0	0	0	0	1	2	0	0	1	0	3	0	0	0	0	0	2	0	2	0	0	0	0	0	0	0	0	0	0	0	0	6	1	1	0	0	0	0	0	0	0	0	0	3	9	1	0	1	8	0	0	4	1	0	6	0	10	0	0	0	5	0	0	1	2	0	0	0	0	2	0	0	1	0	2	0	1	10	0	0	0	1	1	0	0	4	0	0	2	0	0	0	2	0	0	1	0	0	2	0	0	7	3	4	0	0	0	0	0	0	0	0	0
OTU_32189	1	0	34	0	0	0	0	0	3	2	0	0	1	0	0	0	0	0	0	2	0	5	0	2	6	1	0	0	0	0	0	0	0	0	4	0	25	0	0	7	0	0	0	0	0	0	0	0	0	1	3	0	0	6	2	2	0	1	0	1	0	1	0	0	2	0	12	0	0	0	0	2	1	0	1	0	0	3	0	0	0	0	0	0	2	2	14	3	0	0	0	2	6	0	0	7	0	0	0	0	0	0	2	0	0	1	0	3	1	0	0	0	0	0	0	4	5	0	0	0	0	0	0
OTU_137206	13	0	0	0	0	0	0	0	0	11	0	2	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	14	0	0	0	0	6	1	0	1	0	0	0	0	0	2	0	1	0	2	1	54	12	0	0	5	0	0	0	1	4	2	2	0	1	0	1	0	0	2	0	0	0	1	0	0	0	0	1	0	0	11	0	0	17	0	1	1	0	3	0	0	0	0	5	0	1	0	1	3	0	1	0	1	0	2	0	2	2	0	2	0	23	0	0	1	0	1	0	0
