	Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;3M1PL1-52 termite group	Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae	Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;COB P4-1 termite group	Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;CR-115	Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Dysgonomonadaceae	Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;M2PB4-65 termite group	Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Marinifilaceae	Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Marinilabiliaceae	Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Paludibacteraceae	Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;PeH15	Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Rikenellaceae	Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Tannerellaceae	Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Williamwhitmaniaceae	Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;vadinHA21	Bacteria;Bacteroidota;Bacteroidia;Sphingobacteriales;Lentimicrobiaceae	Bacteria;Campylobacterota;Campylobacteria;Campylobacterales;Sulfurospirillaceae	Bacteria;Desulfobacterota;Desulfovibrionia;Desulfovibrionales;Desulfovibrionaceae	Bacteria;Firmicutes;Bacilli;Erysipelotrichales;Erysipelatoclostridiaceae	Bacteria;Firmicutes;Bacilli;Erysipelotrichales;Erysipelotrichaceae	Bacteria;Firmicutes;Bacilli;Lactobacillales;Enterococcaceae	Bacteria;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae	Bacteria;Firmicutes;Bacilli;RF39;uncultured bacterium	Bacteria;Firmicutes;Clostridia;Christensenellales;Christensenellaceae	Bacteria;Firmicutes;Clostridia;Clostridia UCG-014;uncultured bacterium	Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae	Bacteria;Firmicutes;Clostridia;Oscillospirales;Oscillospiraceae	Bacteria;Firmicutes;Clostridia;Oscillospirales;Ruminococcaceae	Bacteria;Firmicutes;Clostridia;Oscillospirales;[Eubacterium] coprostanoligenes group	Bacteria;Firmicutes;Clostridia;Peptostreptococcales-Tissierellales;Anaerovoracaceae	Bacteria;Firmicutes;Negativicutes;Acidaminococcales;Acidaminococcaceae	Bacteria;Fusobacteriota;Fusobacteriia;Fusobacteriales;Fusobacteriaceae	Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;uncultured	Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Comamonadaceae	Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae	Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Yersiniaceae	Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae	Bacteria;Proteobacteria;Gammaproteobacteria;Xanthomonadales;Xanthomonadaceae	Bacteria;Verrucomicrobiota;Verrucomicrobiae;Verrucomicrobiales;Akkermansiaceae	Phylotypes.Combined(109)
DF_1_1	5188	21137	563	668	3880	536	2056	222	3331	25	3117	4477	186	386	65	18	556	256	93	659	1392	190	891	461	4006	474	2668	182	60	217	204	442	6	32	63	17	6	301	7304
DF_1_2	30	8324	1427	1124	9883	649	891	215	3228	25	5130	8704	471	1177	12	41	1852	285	349	874	1377	475	1883	312	2190	887	2702	324	130	171	1231	362	0	33	2	3	0	160	6126
DF_1_3	8	12387	918	298	4370	1926	283	252	2439	55	2986	7099	182	334	113	0	1433	266	215	165	4490	144	2702	107	1160	605	2368	347	135	219	442	388	3	318	80	2	3	390	7608
DF_1_4	19	11699	232	193	5022	497	204	41	2110	6	1960	5413	60	303	48	58	827	2039	692	1320	1331	588	2254	309	2034	606	3727	367	372	613	745	210	0	34	7	22	423	355	3786
DF_1_5	13	4685	870	171	7194	217	230	63	1208	0	4946	7177	600	1269	67	104	1828	373	445	165	266	206	2045	174	1006	632	1672	1409	58	233	314	204	27	249	3144	461	211	177	5287
DF_1_6	3	3249	298	142	1926	140	140	14	2404	1	951	1861	172	257	5	11	349	126	121	854	601	144	368	56	659	151	441	2964	21	86	175	324	1616	901	8421	216	1294	59	6825
DF_1_7	18	31564	2528	1086	14237	3096	2092	199	3418	0	13661	11978	1422	997	346	106	7201	365	451	1560	1136	457	2353	190	2491	1231	2599	13893	127	491	809	793	2007	1985	20582	368	1477	808	21932
DF_1_8	96	8410	642	398	6517	67	332	42	3415	1	2349	5146	266	252	45	13	573	318	313	780	871	107	781	99	1048	414	1059	1291	72	142	1025	307	67	175	1171	30	70	166	2796
DF_2_1	850	5656	1008	507	4757	1008	1089	97	2707	101	3014	4206	203	135	85	9	979	255	109	3419	6906	220	1323	212	1124	342	1595	190	134	98	276	344	1	1318	6808	160	3	101	4448
DF_2_2	41	15081	566	439	2911	1085	354	91	3121	18	2270	7094	52	335	164	31	796	485	235	359	1131	407	1438	393	1654	444	2737	1039	138	205	278	466	0	1270	4414	3181	719	274	4445
DF_2_3	438	20057	312	251	2370	180	667	72	3225	14	1605	4321	110	139	31	44	455	121	38	8	159	130	495	304	1450	280	1311	324	42	238	223	386	1	2889	13488	157	305	138	3853
DF_2_4	8	12677	838	674	7989	2133	1314	138	3352	146	5833	5546	580	280	521	140	2809	596	459	62	44	267	2129	165	1183	658	1416	286	83	80	609	423	1	2	7	6	0	1168	7047
DF_2_5	0	2863	1333	185	4579	2343	630	181	904	70	3345	6432	1254	558	14	192	605	702	509	56	7	351	1814	338	952	282	931	258	62	14	492	187	0	4	68	1	6	266	3878
DF_2_6	0	1093	204	72	1018	532	111	24	724	18	795	2362	501	73	19	5	155	135	61	0	2	19	299	36	130	78	199	28	13	19	65	55	0	1128	1449	21857	2289	23	1553
DF_2_7	2	1978	210	70	1990	398	275	22	1348	27	1042	2369	980	106	7	6	347	187	102	19	1	89	313	60	454	141	553	48	32	61	517	64	0	3412	14273	11445	1538	37	2104
DF_2_8	13	7715	454	192	4176	753	571	41	2751	144	2262	3700	1598	209	39	42	406	173	185	9	0	212	1173	142	563	216	715	165	35	24	467	279	3	440	12628	1798	2800	80	3425
DF_3_1	15	9407	1068	1185	5571	1854	496	133	6910	123	4557	6207	145	132	569	110	1390	1258	458	100	157	241	1620	124	1344	533	1426	182	120	85	1047	231	0	11371	119	114	5	273	5398
DF_3_2	17	5067	637	235	3106	1176	439	46	2810	59	2596	2984	103	59	106	48	1019	670	483	263	9	281	2547	146	529	201	732	140	145	20	262	238	0	3498	12284	8917	38	267	3103
DF_3_3	3	4875	304	318	2823	1085	660	58	3587	51	1859	2526	94	95	131	20	953	765	130	97	11	180	1018	103	667	234	635	52	67	24	604	363	0	508	21755	4179	1	54	3359
DF_3_4	3	4813	19	60	6171	43	156	23	1884	14	1065	4327	67	73	12	32	783	229	299	764	1312	259	680	105	835	409	1679	223	82	149	872	205	0	2914	3499	13062	5	157	2384
DF_3_5	9	2608	50	99	6476	21	176	110	1282	7	1538	4620	71	142	23	26	975	287	403	1294	9174	172	615	134	785	413	1228	131	87	276	526	90	0	835	1428	237	0	789	2996
DF_3_6	291	14399	236	460	11895	14	409	244	3090	30	2222	6245	115	106	5	71	1189	2524	789	513	1702	304	1795	227	782	333	3837	188	83	144	335	446	0	14	9	83	1	4618	4278
